Product line,Article,Art Key
Health and beauty,Anti Age Eye Cream,2
Electronic accessories,Microwave,5
Home and lifestyle,Wall Mirror,11
Sports and travel,Swimsuit,20
Electronic accessories,Samsung Galaxy,8
Home and lifestyle,Curtain Green,15
Health and beauty,Toothpase Mint,3
Food and beverages,Nut mix,28
Fashion accessories,Shirt White,34
Electronic accessories,iPhone,7
Food and beverages,Protein bar peanut,25
Health and beauty,Body Butter Coconut,1
Sports and travel,Backpack 70 L,16
Food and beverages,Roasted almonds,27
Home and lifestyle,Red Velvet Couch,9
Sports and travel,Football,18
Fashion accessories,Shirt Black,33
Fashion accessories,Skirt White,30
Sports and travel,Backpack 30 L,17
Food and beverages,Coca cola,23
Sports and travel,Tent 2 Persons,22
Sports and travel,Tent 3 Persons,21
Home and lifestyle,Makeup Mirror,12
Electronic accessories,Dishwasher,6
Food and beverages,Protein bar vanillia,26
Fashion accessories,Earrings Gold,31
Home and lifestyle,Glass Table,13
Health and beauty,Toothpaste Withening,4
Home and lifestyle,Curtain Red,14
Sports and travel,Football Socks,19
Home and lifestyle,Blue Velvet Couch,10
Food and beverages,Coca cola light,24
Fashion accessories,Earrings Silver,32
Fashion accessories,Skirt Burgundy,29
